"tab_code","表章項目","cat01_code","労働力状態３区分_時系列","cat02_code","男女_時系列","area_code","地域_時系列","time_code","時間軸（調査年）","unit","value"
"320","15歳以上人口","100","総数","100","総数","08000","茨城県","2000000000","2000年","人","2526053"
"320","15歳以上人口","100","総数","100","総数","08000","茨城県","2005000000","2005年","人","2550431"
"320","15歳以上人口","100","総数","100","総数","08000","茨城県","2010000000","2010年","人","2556766"
"320","15歳以上人口","100","総数","100","総数","08000","茨城県","2015000000","2015年","人","2518990"
"320","15歳以上人口","100","総数","100","総数","08000","茨城県","2020000000","2020年","人","2478072"
"320","15歳以上人口","100","総数","100","総数","08000","茨城県","2015000010","2015年_不詳補完値","人","2518990"
"320","15歳以上人口","100","総数","100","総数","08000","茨城県","2020000010","2020年_不詳補完値","人","2478072"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","1950000000","1950年","人","1003223"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","1955000000","1955年","人","987899"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","1960000000","1960年","人","1003527"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","1965000000","1965年","人","1092209"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","1970000000","1970年","人","1191005"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","1975000000","1975年","人","1283734"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","1980000000","1980年","人","1358547"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","1985000000","1985年","人","1440189"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","1990000000","1990年","人","1553733"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","1995000000","1995年","人","1643582"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","2000000000","2000年","人","1696817"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","2005000000","2005年","人","1727409"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","2010000000","2010年","人","1719470"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","2015000000","2015年","人","1712008"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","2020000000","2020年","人","1669992"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","2015000010","2015年_不詳補完値","人","1712008"
"320","15歳以上人口","100","総数","100","総数","09000","栃木県","2020000010","2020年_不詳補完値","人","1669992"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","1950000000","1950年","人","1048432"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","1955000000","1955年","人","1052654"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","1960000000","1960年","人","1078325"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","1965000000","1965年","人","1181710"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","1970000000","1970年","人","1261877"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","1975000000","1975年","人","1328763"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","1980000000","1980年","人","1406941"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","1985000000","1985年","人","1496406"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","1990000000","1990年","人","1596924"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","1995000000","1995年","人","1673464"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","2000000000","2000年","人","1713558"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","2005000000","2005年","人","1731168"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","2010000000","2010年","人","1722128"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","2015000000","2015年","人","1705806"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","2020000000","2020年","人","1672960"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","2015000010","2015年_不詳補完値","人","1705806"
"320","15歳以上人口","100","総数","100","総数","10000","群馬県","2020000010","2020年_不詳補完値","人","1672960"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","1950000000","1950年","人","1413882"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","1955000000","1955年","人","1482737"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","1960000000","1960年","人","1678847"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","1965000000","1965年","人","2224022"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","1970000000","1970年","人","2863609"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","1975000000","1975年","人","3479152"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","1980000000","1980年","人","3958424"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","1985000000","1985年","人","4480672"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","1990000000","1990年","人","5190741"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","1995000000","1995年","人","5658117"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","2000000000","2000年","人","5900445"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","2005000000","2005年","人","6049259"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","2010000000","2010年","人","6213968"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","2015000000","2015年","人","6295909"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","2020000000","2020年","人","6270182"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","2015000010","2015年_不詳補完値","人","6295909"
"320","15歳以上人口","100","総数","100","総数","11000","埼玉県","2020000010","2020年_不詳補完値","人","6270182"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","1950000000","1950年","人","1430224"
